id,family_id,family_name,variant,game,patch,league,death_mode,economy_mode,creator,url,updated_at,accessed_at,retrieval_status,popularity_type,popularity_value,popularity_rank,popularity_scope,popularity_source_id,approval_status
w1_oil,flameblast-oil,Flameblast Oil Grenade,lvl 52 Swap,POE2,0.5.5,Forbidden Rites (site badge only; body applicability unverified),unknown,unknown,Fubgun,https://mobalytics.gg/poe-2/builds/fubgun-flameblast-oil-grenade,2026-09-12,2026-09-21,deep_stage_extracted,guide_favorites,1300,,This Mobalytics guide only; rounded K displays converted approximately; not player usage,w1_mob_01,collected_not_game_validated
w1_plants,plants,Plants / Cast on Critical,Early Endgame,POE2,0.5.5,Forbidden Rites (site badge only; body applicability unverified),unknown,unknown,Scorpius,https://mobalytics.gg/poe-2/builds/scorps-plants-coc-endgame-guide-scorpius,2026-09-16,2026-09-21,deep_stage_extracted,guide_favorites,238,,This Mobalytics guide only; rounded K displays converted approximately; not player usage,w1_mob_02,collected_not_game_validated
w1_ice,ice-shot,Ice Shot,Early,POE2,0.5.5,Forbidden Rites (site badge only; body applicability unverified),unknown,unknown,Fubgun,https://mobalytics.gg/poe-2/builds/ice-shot-deadeye,2026-09-12,2026-09-21,deep_stage_extracted,guide_favorites,7100,,This Mobalytics guide only; rounded K displays converted approximately; not player usage,w1_mob_03,collected_not_game_validated
w1_rue,buff-crossbow,Buff-stacking Crossbow,crit endgame (three-step overview),POE2,0.5,Forbidden Rites (site badge only; body applicability unverified),unknown,unknown,Ruetoo,https://mobalytics.gg/poe-2/builds/ruetoo-tactician-mirage,2026-07-21,2026-09-21,deep_stage_extracted,guide_favorites,1800,,This Mobalytics guide only; rounded K displays converted approximately; not player usage,w1_mob_04,collected_not_game_validated
w1_beast,unique-companion,Unique Beast Companion,Act 3 SWAP,POE2,0.5,Forbidden Rites (site badge only; body applicability unverified),unknown,unknown,CaptainLance9,https://mobalytics.gg/poe-2/builds/spirit-walker-beast-master,2026-09-15,2026-09-21,deep_stage_extracted,unknown,,,This Mobalytics guide only; rounded K displays converted approximately; not player usage,w1_mob_05,collected_not_game_validated
w1_grim,spell-totems,Spell Totems,Progressing maps,POE2,0.5,Forbidden Rites (site badge only; body applicability unverified),SC,Trade,imexile,https://mobalytics.gg/poe-2/builds/grim-totem-oracle-imexile,2026-06-14,2026-09-21,deep_stage_extracted,guide_favorites,302,,This Mobalytics guide only; rounded K displays converted approximately; not player usage,w1_mob_06,collected_not_game_validated
w1_spark_totem,spell-totems,Spell Totems,Min-Max endgame,POE2,0.5,Forbidden Rites (site badge only; body applicability unverified),unknown,SSF,Waggle,https://mobalytics.gg/poe-2/builds/waggle-spell-totem-shaman,2026-06-27,2026-09-21,deep_stage_extracted,guide_favorites,201,,This Mobalytics guide only; rounded K displays converted approximately; not player usage,w1_mob_07,collected_not_game_validated
w1_cold,cold-trigger,Cold Trigger Chronomancer,Leveling,POE2,0.5.5,Forbidden Rites (site badge only; body applicability unverified),unknown,unknown,PaintMasterPoE,https://mobalytics.gg/poe-2/builds/cold-cast-on-crit-archmage-paintmaster,2026-09-17,2026-09-21,deep_stage_extracted,guide_favorites,2600,,This Mobalytics guide only; rounded K displays converted approximately; not player usage,w1_mob_08,collected_not_game_validated
w1_slow,slow-support,Slow-cap Party Support,single displayed support setup,POE2,0.5.5,Forbidden Rites (site badge only; body applicability unverified),unknown,unknown,PaintMasterPoE,https://mobalytics.gg/poe-2/builds/paintmasters-timefreeze-support,2026-09-02,2026-09-21,detail_extracted,unknown,,,This Mobalytics guide only; rounded K displays converted approximately; not player usage,w1_mob_09,collected_not_game_validated
w1_flame,flameblast-cooldown,Cooldown Flameblast Frostflame Nova,single displayed endgame setup,POE2,0.5,Forbidden Rites (site badge only; body applicability unverified),unknown,unknown,Lazy Exile,https://mobalytics.gg/poe-2/builds/flameblast-frostflame-nova-all-content-blaster,2026-07-05,2026-09-21,detail_extracted,unknown,,,This Mobalytics guide only; rounded K displays converted approximately; not player usage,w1_mob_10,collected_not_game_validated
