방패벽 키타바 할당 및 과대망상 주얼을 위한 액체 감정 875개 티어 정리,,,,,,,
,,,,,,,
,,,,,,,
SS티어,S티어,A티어,B티어(나름 쓸만한 것들),C티어(조금씩은 쓸만한),D티어(있어도 딱히…),E티어(무옵),F티어(채용시 역효과)
녹아내린 존재,두개골 충격,수호하는 물약,불길수호자,절연 발 보호대,눈부신 섬광,절개,중량탄약
촉매 작용,포악함,부서지지 않음,원시적 보호,활동복귀,폭풍수호자,경계태세,에테르 흐름
사고의 차크라,정신 인내,섭취된 위세,위치 사수,예비 계획,불의리듬,얼음의리듬,휘젓기
자로크의 선물,으르렁거리는 포효,최초의 접근,의욕을 고취하는 지도자(원소약화 대비),소금물 등딱지,화염술사,꾸준한 섭취,잔상
마석학 발전기,부정적인 성장,울부짖는 영장류,뚫리지 않는 껍질,강인한 턱,방어 반사신경,날카로운 발톱,변환 타격
모범,폭풍 예견자 모르가나,숙달,저항(이미 찍혀잇는 노드라 만약 얻는다면 노드 개편이 생길 것임),대규모 회춘,화려한 흘려보내기,좁은 영역,단일 목적
자로크의 선물,우박,팔방미인,착취,힘의파장,눈앞의 별,필연적인 파열,압도
,녹아내린 신의 선물,단조한 방어,효율적인 살상,경계,신중한 조준,충격파,융합
,발전하는 고함,폭발적인 충격,주입된 육체,결연한 정밀함,공간 확보,불안정,종말
,외로운 전사,가속,톱니 칼날,비전 연금술,비전 혼합체,반향하는 흘려보내기,타쇄하는 평결
,명료함,포괄하는 영역,원천,탈피,사냥꾼의 부적,주머니모래,조리 완료
,꾸짖는 자,깊은 무아지경,안정적인 자세,장거리 관계,에너지 투자,가속의 방어막,융합
,복수의 광분,마지막 저항,원소 대항,효율적인 시전,뇌화학적 변화,조심스러운 고려,피의 제물
,분광의 수호병,자연 그 자체,충격 범위,늑대의 유대,치명적인 허세,고양이의 유대,지속되는 외상
,포효하는 함성,공성 작전,해상도,정곡 노리기,선수치기,사냥하는 반려수,모두를 위한 하나
,화장하는 함성,타고난 면역,감전 방지 처리,에센스 주입,두꺼워진 동맥,교차타격,자기번제
,최상위 방어,도미누스의 섭리,내열 처리,술고래,이동의 자유,재빠른 훼방,고행
,가시 박힌 방패,거대한 멧돼지,냉각 방지 처리,상황 반전,근시,통제된 혼돈,최후
,패기,머나먼 몽상가,정정한 여행자,정확한 일격,치명타 악용,자진한 금욕,시전 폭포
,위험한 만개,육중한 몸,완고,날카로운 눈,결정적인 퇴각,결정적인 퇴각,살점 조각
,물질 고형화,지속되는 맹공,대규모 발작,큰 독사의 유대,짜릿한 천성,적응형 공격,지나친 열정
,관용하는 장비,폭발적인 강화,파괴하는 일격,날렵한 후속타,적 처단,구르기 타격,거품
,격려의 목소리,우울로의 추락,치솟는 방패,재생성 살성,흔들리지 않는 충격,와이번의 숨결,강화 방벽
